Código de infração;Infração;Responsável;Valor da multa;Órgão Autuador;Artigos do CTB;Pontos;Gravidade
58350;Desobedecer as ordens emanadas da autorid compet de transito ou de seus agentes;Condutor;195.23;Estadual/Municipal/Rodoviario;195;5.0;Grave
50882;Entregar veiculo a pessoa com PPD de categoria diferente da do veiculo;Proprietario;586.94;Estadual/Rodoviario;163 c/c 162 * III;7.0;Gravissima2X
58431;Deixar de indicar com antecedencia, mediante gesto de braco/luz indicadora, inicio da marcha;Condutor;195.23;Estadual/Municipal/Rodoviario;196;5.0;Grave
51180;Permitir posse/conducao do veiculo a pessoa sem CNH/PPD/ACC;Proprietario;880.41;Estadual/Rodoviario;164 c/c 162 * I;7.0;Gravissima3X
51341;Permitir posse/conducao veiculo a pessoa com CNH categoria diferente da do veiculo;Proprietario;586.94;Estadual/Rodoviario;164 c/c 162 * III;7.0;Gravissima2X
51342;Permitir posse/conducao veiculo a pessoa com PPD categoria diferente da do veiculo;Proprietario;586.94;Estadual/Rodoviario;164 c/c 162 * III;7.0;Gravissima2X
58191;Transitar com o veiculo em calcadas, passeios;Condutor;880.41;Municipal/Rodoviario;193;7.0;Gravissima3X
58192;Transitar com o veiculo em ciclovias, ciclofaixas;Condutor;880.41;Municipal/Rodoviario;193;7.0;Gravissima3X
58432;Deixar de indicar com antecedencia, mediante gesto de braco/luz indicadora, manobra de parar;Condutor;195.23;Estadual/Municipal/Rodoviario;196;5.0;Grave
58193;Transitar com o veiculo em ajardinamentos, gramados, jardins publicos;Condutor;880.41;Municipal/Rodoviario;193;7.0;Gravissima3X
58194;Transitar com o veiculo em canteiros centrais/divisores de pista de rolamento;Condutor;880.41;Municipal/Rodoviario;193;7.0;Gravissima3X
58433;Deixar de indicar com antecedencia, mediante gesto de braco/luz indicadora, mudanca de direcao;Condutor;195.23;Estadual/Municipal/Rodoviario;196;5.0;Grave
58195;Transitar com o veiculo em ilhas, refugios;Condutor;880.41;Municipal/Rodoviario;193;7.0;Gravissima3X
58434;Deixar de indicar com antecedencia, mediante gesto de braco/luz indicadora, mudanca de faixa;Condutor;195.23;Estadual/Municipal/Rodoviario;196;5.0;Grave
59750;Deixar de parar no acostamento a direita, para cruzar pista ou entrar a esquerda;Condutor;195.23;Municipal/Rodoviario;204;5.0;Grave
60411;Executar operacao de conversao a direita em local proibido pela sinalizacao;Condutor;195.23;Municipal/Rodoviario;207;5.0;Grave
60412;Executar operacao de conversao a esquerda em local proibido pela sinalizacao;Condutor;195.23;Municipal/Rodoviario;207;5.0;Grave
60681;Transpor bloqueio viario com ou sem sinalizacao ou dispositivos auxiliares;Condutor;195.23;Estadual/Municipal/Rodoviario;209;5.0;Grave
60682;Deixar de adentrar as areas destinadas a pesagem de veiculos;Condutor;195.23;Estadual/Municipal/Rodoviario;209;5.0;Grave
60841;Ultrapassar veiculos motorizados em fila, parados em razao de sinal luminoso;Condutor;195.23;Estadual/Municipal/Rodoviario;211;5.0;Grave
58196;Transitar com o veiculo em marcas de canalizacao;Condutor;880.41;Municipal/Rodoviario;193;7.0;Gravissima3X
58197;Transitar com o veiculo em acostamentos;Condutor;880.41;Municipal/Rodoviario;193;7.0;Gravissima3X
74710;Transitar em velocidade superior a maxima permitida em mais de 50%;Condutor;880.41;Municipal/Rodoviario;218 * III;7.0;Gravissima3X
50291;Dirigir veiculo com CNH/PPD/ACC cassada;Condutor;880.41;Estadual/Rodoviario;162 * II;7.0;Gravissima3X
50292;Dirigir veiculo com CNH/PPD/ACC com suspensao do direito de dirigir;Condutor;880.41;Estadual/Rodoviario;162 * II;7.0;Gravissima3X
50701;Entregar veiculo a pessoa com CNH/PPD/ACC cassada;Proprietario;880.41;Estadual/Rodoviario;163 c/c 162 * II;7.0;Gravissima3X
50702;Entregar veiculo a pessoa com CNH/PPD/ACC com susp. do direito de dirigir;Proprietario;880.41;Estadual/Rodoviario;163 c/c 162 * II;7.0;Gravissima3X
51261;Permitir posse/conducao do veiculo a pessoa com CNH/PPD/ACC cassada;Proprietario;880.41;Estadual/Rodoviario;164 c/c 162 * II;7.0;Gravissima3X
52820;Deixar o condutor envolvido em acidente, de prestar ou providenciar socorro a vitima;Condutor;1467.35;Estadual/Rodoviario;176 * I;7.0;Gravissima5X
52900;Deixar o condutor envolvido em acidente, de adotar providencias para evitar perigo para o transito;Condutor;1467.35;Estadual/Rodoviario;176 * II;7.0;Gravissima5X
50450;Dirigir veiculo com validade de CNH/PPD vencida ha mais de 30 dias;Condutor;293.47;Estadual/Rodoviario;162 * V;7.0;Gravissima
53040;Deixar o condutor envolvido em acidentes com vitima de preservar o local, de forma a facilitar os trabalhos da Policia e da Pericia.;Condutor;1467.35;Estadual/Rodoviario;176 * III;7.0;Gravissima5X
53120;Deixar o condutor envolvido em acidente, de remover o veiculo do local quando determinado por policial ou agente da autoridade de transito;Condutor;1467.35;Estadual/Rodoviario;176 * IV;7.0;Gravissima5X
53200;Deixar o condutor envolvido em acidente, de identificar-se ao policial e de lhe prestar informacoes necessarias a confeccao do boletim de ocorrencia;Condutor;1467.35;Estadual/Rodoviario;176 * V;7.0;Gravissima5X
59080;Ultrapassar pelo acostamento;Condutor;1467.35;Municipal/Rodoviario;202 * I;7.0;Gravissima5X
59161;Ultrapassar em intersecoes;Condutor;1467.35;Municipal/Rodoviario;202 * II;7.0;Gravissima5X
59162;Ultrapassar em passagem de nivel;Condutor;1467.35;Municipal/Rodoviario;202 * II;7.0;Gravissima5X
59241;Ultrapassar pela contramao nas curvas sem visibilidade suficiente;Condutor;1467.35;Municipal/Rodoviario;203 * I;7.0;Gravissima5X
50531;Dirigir veiculo sem usar lentes corretoras de visao;Condutor;293.47;Estadual/Rodoviario;162 * VI;7.0;Gravissima
59242;Ultrapassar pela contramao nos aclives ou declives, sem visibilidade suficiente;Condutor;1467.35;Municipal/Rodoviario;203 * I;7.0;Gravissima5X
59320;Ultrapassar pela contramao nas faixas de pedestre;Condutor;1467.35;Municipal/Rodoviario;203 * II;7.0;Gravissima5X
59401;Ultrapassar pela contramao nas pontes;Condutor;1467.35;Municipal/Rodoviario;203 * III;7.0;Gravissima5X
50532;Dirigir veiculo sem usar aparelho auxiliar de audicao;Condutor;293.47;Estadual/Rodoviario;162 * VI;7.0;Gravissima
59402;Ultrapassar pela contramao nos viadutos;Condutor;1467.35;Municipal/Rodoviario;203 * III;7.0;Gravissima5X
59403;Ultrapassar pela contramao nos tuneis;Condutor;1467.35;Municipal/Rodoviario;203 * III;7.0;Gravissima5X
59591;Ultrapassar pela contramao veiculo parado em fila junto sinal luminoso;Condutor;1467.35;Municipal/Rodoviario;203 * IV;7.0;Gravissima5X
59593;Ultrapassar pela contramao veiculo parado em fila junto a cruzamento;Condutor;1467.35;Municipal/Rodoviario;203 * IV;7.0;Gravissima5X
59594;Ultrapassar pela contramao veiculo parado em fila junto a qualquer outro impedimento a livre circulacao;Condutor;1467.35;Municipal/Rodoviario;203 * IV;7.0;Gravissima5X
50533;Dirigir veiculo sem usar aparelho auxiliar de protese fisica;Condutor;293.47;Estadual/Rodoviario;162 * VI;7.0;Gravissima
59670;Ultrapassar pela contramao linha de divisao de fluxos opostos, continua amarela;Condutor;1467.35;Municipal/Rodoviario;203 * V;7.0;Gravissima5X
50534;Dirigir veiculo sem adaptacoes impostas na concessao/renovacao licenca conduzir;Condutor;293.47;Estadual/Rodoviario;162 * VI;7.0;Gravissima
50960;Entregar veiculo a pessoa com CNH/PPD vencida ha mais de 30 dias;Proprietario;293.47;Estadual/Rodoviario;163 c/c 162 * V;7.0;Gravissima
51001;Entregar o veiculo a pessoa sem usar lentes corretoras de visao;Proprietario;293.47;Estadual/Rodoviario;163 c/c 162 * VI;7.0;Gravissima
51002;Entregar o veiculo a pessoa sem usar aparelho auxiliar de audicao;Proprietario;293.47;Estadual/Rodoviario;163 c/c 162 * VI;7.0;Gravissima
51003;Entregar o veiculo a pessoa sem aparelho de protese fisica;Proprietario;293.47;Estadual/Rodoviario;163 c/c 162 * VI;7.0;Gravissima
51004;Entregar veiculo a pessoa sem adaptacoes do veiculo impostas por ocasiao da concessao ou da renovacao da licenca para conduzir;Proprietario;293.47;Estadual/Rodoviario;163 c/c 162 * VI;7.0;Gravissima
51420;Permitir posse/conducao do veiculo a pessoa com CNH/PPD vencida ha mais de 30 dias;Proprietario;293.47;Estadual/Rodoviario;164 c/c 162 * V;7.0;Gravissima
51501;Permitir posse/conducao do veiculo a pessoa sem usar lentes corretoras de visao;Proprietario;293.47;Estadual/Rodoviario;164 c/c 162 * VI;7.0;Gravissima
51502;Permitir posse/conducao do veiculo a pessoa sem usar aparelho auxiliar de audicao;Proprietario;293.47;Estadual/Rodoviario;164 c/c 162 * VI;7.0;Gravissima
51503;Permitir posse/conducao do veiculo a pessoa sem usar aparelho de protese fisica;Proprietario;293.47;Estadual/Rodoviario;164 c/c 162 * VI;7.0;Gravissima
51504;Permitir posse de condutor em veiculo sem adaptacoes impostas concessao/renovacao licenca condutor;Proprietario;293.47;Estadual/Rodoviario;164 c/c 162 * VI;7.0;Gravissima
51770;Confiar/entregar veiculo a pessoa com estado fisico/psiquico sem condicoes dirigir em seguranca;Proprietario;293.47;Estadual/Rodoviario;166;7.0;Gravissima
51930;Transportar crianca sem observancia das normas de seguranca estabelecidas para CTB (retencao/cadeirinha(cadeira)/menor de 10 anos/altura inferior a 1,45m);Condutor;293.47;Estadual/Municipal/Rodoviario;168;7.0;Gravissima
52151;Dirigir ameacando os pedestres que estejam atravessando a via publica;Condutor;293.47;Estadual/Municipal/Rodoviario;170;7.0;Gravissima
60842;Ultrapassar veiculos motorizados em fila, parados em razao de cancela;Condutor;195.23;Estadual/Municipal/Rodoviario;211;5.0;Grave
60843;Ultrapassar veiculos motorizados em fila parados em razao de bloqueio viario parcial;Condutor;195.23;Estadual/Municipal/Rodoviario;211;5.0;Grave
60844;Ultrapassar veiculos motorizados em fila, parados em razao de qualquer obstaculo;Condutor;195.23;Estadual/Municipal/Rodoviario;211;5.0;Grave
61140;Deixar de parar sempre que a marcha for interceptada por agrupamento de veiculos;Condutor;195.23;Municipal/Rodoviario;213 * II;5.0;Grave
61570;Deixar de dar preferencia a pedestre/veiculo nao motorizado quando iniciada travessia sem sinalizacao;Condutor;195.23;Municipal/Rodoviario;214 * IV;5.0;Grave
61650;Deixar de dar preferencia a pedestre/veiculo nao motorizado atravessando a via transversal;Condutor;195.23;Municipal/Rodoviario;214 * V;5.0;Grave
61731;Deixar de dar preferencia em intersecao nao sinalizada, a veiculo circulando por Rodoviarioia;Condutor;195.23;Municipal/Rodoviario;215 * I * a;5.0;Grave
61732;Deixar de dar preferencia em intersecao nao sinalizada, a veiculo circulando por rotatoria;Condutor;195.23;Municipal/Rodoviario;215 * I * a;5.0;Grave
61733;Deixar de dar preferencia em intersecao nao sinalizada, a veiculo que vier da direita;Condutor;195.23;Municipal/Rodoviario;215 * I * b;5.0;Grave
61810;Deixar de dar preferencia nas intersecoes com sinalizacao de De a Preferencia;Condutor;195.23;Municipal/Rodoviario;215 * II;5.0;Grave
62700;Deixar de reduzir a velocidade onde o transito esteja sendo controlado pelo agente;Condutor;195.23;Municipal/Rodoviario;220 * II;5.0;Grave
62891;Deixar de reduzir a velocidade do veiculo ao aproximar-se da guia da calcada;Condutor;195.23;Municipal/Rodoviario;220 * III;5.0;Grave
62892;Deixar de reduzir a velocidade do veiculo ao aproximar-se do acostamento;Condutor;195.23;Municipal/Rodoviario;220 * III;5.0;Grave
62970;Deixar de reduzir velocidade do veiculo ao aproximar-se intersecao nao sinalizada;Condutor;195.23;Municipal/Rodoviario;220 * IV;5.0;Grave
55090;Estacionar no ponto de embarque/desembarque de passageiros transporte coletivo;Condutor;130.16;Municipal/Rodoviario;181 * XIII;4.0;Media
55250;Estacionar na contramao de direcao;Condutor;130.16;Municipal/Rodoviario;181 * XV;4.0;Media
64160;Confeccionar/distribuir/colocar veiculo proprio/terceiro placa identificacao desacordo Contran;PF ou PJ;130.16;Estadual/Rodoviario;221, paragrafo unico;4.0;Media
63000;Deixar reduzir velocidade nas vias rurais cuja faixa dominio nao esteja cercada;Condutor;195.23;Municipal/Rodoviario;220 * V;5.0;Grave
68313;Transitar com o veiculo com excesso de peso - PBT/PBTC e Por Eixo;Emb/Transp;130.16;Municipal/Rodoviario;231 * V;4.0;Media
68312;Transitar com o veiculo com excesso de peso - Por Eixo;Emb/Transp;130.16;Municipal/Rodoviario;231 * V;4.0;Media
68311;Transitar com o veiculo com excesso de peso PBT/PBTC;Emb/Transp;130.16;Municipal/Rodoviario;231 * V;4.0;Media
63190;Deixar de reduzir a velocidade nos trechos em curva de pequeno raio;Condutor;195.23;Municipal/Rodoviario;220 * VI;5.0;Grave
68741;Transitar com o veiculo desligado em declive;Condutor;130.16;Municipal/Rodoviario;231 * IX;4.0;Media
68820;Transitar com o veiculo excedendo a Capacidade Maxima de Tracao (CMT) em ate 600 kg;Proprietario;130.16;Municipal/Rodoviario;231 * X;4.0;Media
72262;Deixar de manter acesas a noite as luzes de posicao veic fazendo carga/descarga;Condutor;130.16;Municipal/Rodoviario;249;4.0;Media
73232;Dirigir o veiculo transportando animais a sua esquerda ou entre os bracos e pernas;Condutor;130.16;Estadual/Rodoviario;252 * II;4.0;Media
52152;Dirigir ameacando os demais veiculos;Condutor;293.47;Estadual/Municipal/Rodoviario;170;7.0;Gravissima
54281;Estacionar na pista de rolamento das estradas;Condutor;293.47;Municipal/Rodoviario;181 * V;7.0;Gravissima
54282;Estacionar na pista de rolamento das Rodovias;Condutor;293.47;Municipal/Rodoviario;181 * V;7.0;Gravissima
54283;Estacionar na pista de rolamento das vias de transito rapido;Condutor;293.47;Municipal/Rodoviario;181 * V;7.0;Gravissima
54284;Estacionar na pista de rolamento das vias dotadas de acostamento;Condutor;293.47;Municipal/Rodoviario;181 * V;7.0;Gravissima
57380;Transitar pela contramao de direcao em via com sinalizacao de regulamentacao sentido unico;Condutor;293.47;Municipal/Rodoviario;186 * II;7.0;Gravissima
57701;Deixar de dar passagem a veiculo precedido de batedores devidamente identificados;Condutor;293.47;Estadual/Municipal/Rodoviario;189;7.0;Gravissima
57702;Deixar de dar passagem a veiculo de socorro de incendio e salvamento quando em servico de urgencia e devidamente identificados;Condutor;293.47;Estadual/Municipal/Rodoviario;189;7.0;Gravissima
57703;Deixar de dar passagem a veiculo de policia em servico de urgencia devidamente identificada;Condutor;293.47;Estadual/Municipal/Rodoviario;189;7.0;Gravissima
57704;Deixar de dar passagem a veiculo de operacao e fiscalizacao de transito devidamente identificada;Condutor;293.47;Estadual/Municipal/Rodoviario;189;7.0;Gravissima
57705;Deixar de dar passagem a ambulancia em servico de urgencia devidamente identificada;Condutor;293.47;Estadual/Municipal/Rodoviario;189;7.0;Gravissima
58860;Ultrapassar pela direita veiculo de transporte coletivo ou de escolares, parado para embarque ou desembarque de passageiros, salvo quando houver refugio de seguranca para o pedestre;Condutor;293.47;Municipal/Rodoviario;200;7.0;Gravissima
59910;Executar operacao de retorno em locais proibidos pela sinalizacao;Condutor;293.47;Municipal/Rodoviario;206 * I;7.0;Gravissima
60091;Executar operacao de retorno nas curvas;Condutor;293.47;Municipal/Rodoviario;206 * II;7.0;Gravissima
60092;Executar operacao de retorno nos aclives ou declives;Condutor;293.47;Municipal/Rodoviario;206 * II;7.0;Gravissima
60093;Executar operacao de retorno nas pontes;Condutor;293.47;Municipal/Rodoviario;206 * II;7.0;Gravissima
60094;Executar operacao de retorno nos viadutos;Condutor;293.47;Municipal/Rodoviario;206 * II;7.0;Gravissima
60095;Executar operacao de retorno nos tuneis;Condutor;293.47;Municipal/Rodoviario;206 * II;7.0;Gravissima
60171;Executar operacao de retorno passando por cima de calcada, passeio;Condutor;293.47;Municipal/Rodoviario;206 * III;7.0;Gravissima
60172;Executar operacao de retorno passando por cima de ilha, refugio;Condutor;293.47;Municipal/Rodoviario;206 * III;7.0;Gravissima
60173;Executar operacao de retorno passando por cima de ajardinamento;Condutor;293.47;Municipal/Rodoviario;206 * III;7.0;Gravissima
60174;Executar operacao de retorno passando por cima de canteiro de divisor de pista;Condutor;293.47;Municipal/Rodoviario;206 * III;7.0;Gravissima
60175;Executar operacao de retorno passando por cima de faixa de pedestres;Condutor;293.47;Municipal/Rodoviario;206 * III;7.0;Gravissima
60176;Executar operacao de retorno passando por cima de faixa de veiculo nao motorizados;Condutor;293.47;Municipal/Rodoviario;206 * III;7.0;Gravissima
60250;Executar retorno nas intersecoes, entrando na contramao da via transversal;Condutor;293.47;Municipal/Rodoviario;206 * IV;7.0;Gravissima
60330;Executar retorno com prejuizo da circulacao/seguranca ainda que em local permitido;Condutor;293.47;Municipal/Rodoviario;206 * V;7.0;Gravissima
60501;Avancar o sinal vermelho do semaforo, exceto onde houver sinalizacao que permite livre conversao a direita;Condutor;293.47;Municipal/Rodoviario;208;7.0;Gravissima
60502;Avancar o sinal de parada obrigatoria;Condutor;293.47;Municipal/Rodoviario;208;7.0;Gravissima
60503;Avancar o sinal vermelho do semaforo sob fiscalizacao eletronica;Condutor;293.47;Municipal/Rodoviario;208;7.0;Gravissima
60760;Transpor bloqueio viario policial;Condutor;293.47;Estadual/Municipal/Rodoviario;210;7.0;Gravissima
60920;Deixar de parar o veiculo antes de transpor linha ferrea;Condutor;195.23;Municipal/Rodoviario;212;7.0;Gravissima
61060;Deixar de parar sempre que a marcha for interceptada por agrupamento de pessoas;Condutor;293.47;Municipal/Rodoviario;213 * I;7.0;Gravissima
61220;Deixar de dar preferencia a pedestre e a veiculo nao motorizado na faixa a ele destinada;Condutor;293.47;Municipal/Rodoviario;214 * I;7.0;Gravissima
61300;Deixar de dar preferencia a pedestre e a veiculo nao motorizado que nao haja concluido a travessia;Condutor;293.47;Municipal/Rodoviario;214 * II;7.0;Gravissima
61490;Deixar de dar preferencia a pedestre portador de deficiencia fisica, crianca, idoso e gestante;Condutor;293.47;Municipal/Rodoviario;214 * III;7.0;Gravissima
62620;Deixar de reduzir a velocidade quando se aproximar de passeatas, aglomeracoes, desfiles, etc;Condutor;293.47;Municipal/Rodoviario;220 * I;7.0;Gravissima
63941;Deixar de reduzir a velocidade nas proximidades de escolas;Condutor;293.47;Municipal/Rodoviario;220 * XIV;7.0;Gravissima
63942;Deixar de reduzir a velocidade nas proximidades de hospitais;Condutor;293.47;Municipal/Rodoviario;220 * XIV;7.0;Gravissima
63943;Deixar de reduzir velocidade na proximidade de estacao de embarque e desembarque de passageiros;Condutor;293.47;Municipal/Rodoviario;220 * XIV;7.0;Gravissima
63944;Deixar de reduzir velocidade onde haja intensa movimentacao de pedestres;Condutor;293.47;Municipal/Rodoviario;220 * XIV;7.0;Gravissima
65561;Conduzir o veiculo com o lacre de identificacao violado/falsificado;Proprietario;293.47;Estadual/Rodoviario;230 * I;7.0;Gravissima
65562;Conduzir o veiculo com a inscricao do chassi violada/falsificada;Proprietario;293.47;Estadual/Rodoviario;230 * I;7.0;Gravissima
65563;Conduzir o veiculo com o selo violado/falsificado;Proprietario;293.47;Estadual/Rodoviario;230 * I;7.0;Gravissima
65564;Conduzir o veiculo com a placa violada/falsificada;Proprietario;293.47;Estadual/Rodoviario;230 * I;7.0;Gravissima
65565;Conduzir o veiculo com qualquer outro elemento de identificacao violado/falsificado;Proprietario;293.47;Estadual/Rodoviario;230 * I;7.0;Gravissima
65640;Conduzir o veiculo transportando passageiros em compartimento de carga;Condutor;293.47;Municipal/Rodoviario;230 * II;7.0;Gravissima
65720;Conduzir o veiculo com dispositivo antirradar;Proprietario;293.47;Estadual/Rodoviario;230 * III;7.0;Gravissima
65800;Conduzir o veiculo sem qualquer uma das placas de identificacao;Proprietario;293.47;Estadual/Rodoviario;230 * IV;7.0;Gravissima
65991;Conduzir o veiculo que nao esteja registrado;Proprietario;293.47;Estadual/Rodoviario;230 * V;7.0;Gravissima
65992;Conduzir o veiculo registrado que nao esteja devidamente licenciado (atraso/atrasado);Proprietario;293.47;Estadual/Rodoviario;230 * V;7.0;Gravissima
66020;Conduzir o veiculo com qualquer uma das placas sem legibilidade e visibilidade;Proprietario;293.47;Estadual/Rodoviario;230 * VI;7.0;Gravissima
67770;Transitar com o veiculo danificando a via, suas instalacoes e equipamentos;Condutor;293.47;Municipal/Rodoviario;231 * I;7.0;Gravissima
67851;Transitar com veiculo derramando a carga que esteja transportando;Condutor;293.47;Municipal/Rodoviario;231 * II * a;7.0;Gravissima
67852;Transitar com veiculo lancando a carga que esteja transportando;Condutor;293.47;Municipal/Rodoviario;231 * II * a;7.0;Gravissima
67853;Transitar com veiculo arrastando a carga que esteja transportando;Condutor;293.47;Municipal/Rodoviario;231 * II * a;7.0;Gravissima
